Date,Event,Description,SharedOrPersonal
31 Mar 2020,JobKeeper wage subsidy program announced,"$70 billion to pay employers up to $1500 a fortnight per employee.","Shared"
31 Mar 2020,South Australia closes its borders,"Border towns have exceptions.","Shared"
2 May 2020,Outbreak reported at Victorian meatworks,"8 cases reported, later linked to 90 cases.","Shared"
15 May 2020,NSW eases restrictions on public gatherings,"","Shared"
18 May 2020,Flu shot,"I took a trip to the Chemist to get a flu shot so I couldn't catch Covid and the flu at the same time.","Personal"
19 May 2020,Virtual rent inspection,"This was such a fail.","Personal"
24 May 2020,"Rio Tinto destroys historic Aboriginal site","46,000-year-old Juukan Gorge cave in the Hammersley Ranges, WA, was destroyed.","Shared"
25 May 2020,The killing of George Floyd,"Black Lives Matter. Several protests followed in Australia around social issues faced by Indigenous Australians, including Aboriginal deaths in custody.","Shared"
25 May 2020,Published “Learning data viz with D3”,"This Medium article captured my first 30 days of a 100-day project.","Personal"
26 May 2020,Melbourne quarantine hotel cases escape,"A night duty manager and 5 security guards at Melbourne quarantine hotels tested positive leading to second wave in Melbourne.","Shared"
27 May 2020,Culture Amp lets go 36 people,"~8% of our global team.","Personal"
30 May 2020,Began two-week staycation,"I couldn't go anywhere, but it was lovely.","Personal"
6 Apr 2020,Ordered more sweatpants,"Working From Home this much requires more pants.","Personal"
7 Apr 2020,"High Court quashes George Pell convictions","“… the evidence did not establish guilt to the requisite standard of proof”","Shared"
12 Apr 2020,Finished second of Shirley Wu's D3 courses,"This is a great course.","Personal"
17 Apr 2020,Finished third of Shirley Wu's D3 courses,"I want to visualise things!","Personal"
25 Apr 2020,Started 100 days of data viz,"I published Observable notebooks daily.","Personal"
28 Apr 2020,Toilet paper panic buying,"People literally fighting over toilet paper.","Shared"
1 Jun 2020,Victorians allowed up to 20 visitors,"Up to 20 people in your home or in a public place. Restaurants, cafes and pubs can have up to 20 customers dine in, and businesses such as beauty therapists can see clients again.","Shared"
7 Jun 2020,Birthday celebration,"Visited family in Melbourne for birthday celebrations.","Personal"
12 Jun 2020,Friend's birthday,"I had dinner at a friend's house. It was strange figuring out how to interact and social distance indoors.","Personal"
22 Jun 2020,Victorians allowed only 5 visitors,"Households can only have five visitors.","Shared"
24 Jun 2020,Ended my physio streak,"I had managed 84 days of consistent physio.","Personal"
27 Jun 2020,WA relaxes its restrictions,"Normal life resumes over there.","Shared"
1 Jul 2020,Lockdown in Melbourne hotspots,"Not my area. 10 different Melbourne postcodes.","Shared"
2 Jul 2020,Judicial Inquiry Into Hotel Quarantine Program,"","Shared"
4 Jul 2020,Visited in-laws,"Further birthday celebrations.","Personal"
4 Jul 2020,2 more hotspot post codes locked down,"Friends are back in lockdown.","Shared"
7 Jul 2020,Upcoming Stage 3 restrictions announced,"Only allowed to leave the house for four reasons: shopping for food and essential items, care and caregiving, daily exercise, and work. This is when we should have fled to the country.","Shared"
8 Jul 2020,Victorian and NSW interstate border closed,"The border closed for the first time since the 1918–19 Spanish flu pandemic.","Shared"
8 Jul 2020,SA imposes hard border closure to Victorians,"Throws border towns into chaos. My family can't do their grocery shopping.","Personal"
21 Jul 2020,I officially resigned from my role,"This is one of the bigger risks I've ever taken.","Personal"
22 Jul 2020,Melbourne compulsory masks,"At 11.59pm, masks became mandatory. A fine of A$200 will apply to those not complying. 3 days notice was given for people to buy masks.","Shared"
25 Jul 2020,Covid-19 test,"I had a minor cough. Did drive through test.","Personal"
28 Jul 2020,Covid-19 test result was negative,"That was a good SMS to read.","Personal"
2 Aug 2020,Finished 100 days of data viz,"Oof. That was hard work!","Personal"
2 Aug 2020,Melbourne Stage 4 restrictions,"Curfew between 8pm and 5am. 5km travel restriction. Reduced business. Only one hour of exercise.","Shared"
2 Aug 2020,State of disaster,"Victoria declares state of disaster.","Shared"
8 Aug 2020,Six year anniversary with my partner,"We did nothing special.","Personal"
17 Aug 2020,Loved one's 40th birthday,"Iso birthdays involve lots of delivered food.","Personal"
4 Sep 2020,My final day at Culture Amp,"People were so nice.","Personal"
13 Sep 2020,Social bubbles in First Step for reopening,"Those living alone or single parents allowed to have one other person in their home. Playgrounds reopened. A reduction of the curfew by an hour.","Shared"
21 Sep 2020,Whales beached in Tasmania,"Within 3 days, upwards of 450 whales were beached.","Shared"
24 Sep 2020,Released significant changes to Typey Type,"I redesigned Typey Type for Stenographers, added new lessons, added a metronome, and made a bunch of fixes.","Personal"
27 Sep 2020,Restrictions starting to ease and curfew ended,"Public gathering limits increased up to 5 people from 2 households outdoors for social interaction.","Shared"
28 Sep 2020,Saw a friend at the park,"First non-stranger I've seen outside my house in 12 weeks.","Personal"
28 Sep 2020,Childcare reopened,"This was a big deal for many people.","Shared"
16 Oct 2020,Trip to hospital emergency department (not related to Covid),"We're ok. 4 hours 51 minutes was the longest I'd been outside my apartment in 14 weeks.","Personal"
18 Oct 2020,“Get on the Beers (featuring Dan Andrews)” remix goes viral,"Played at the Wine Machine festival in Swan Valley, WA, the viral remix by Mashd N Kutcher was officially release 26 Oct 2020."
19 Oct 2020,Restrictions further eased to 25km radius,"Two-hour time limit for exercise and socialising was lifted. Hairdressers allowed to open. Many allied health services allowed to have face-to-face services.","Shared"
19 Oct 2020,Visited the beach,"First time leaving my 5km bubble in 15 weeks (except for the hospital trip).","Personal"
20 Oct 2020,Offered a new role,"Prospect of employment!","Personal"
20 Oct 2020,Postal voted in local election,"Postal voting was so easy.","Personal"
26 Oct 2020,News of lockdown ending in 2 days,"I cried.","Shared"
26 Oct 2020,Donut Day shows 0 cases and 0 deaths in Vic,"Victorians celebrate by buying donuts in droves.","Shared"
27 Oct 2020,Dan Andrews confirms we can get on the beers,"“Can I confirm you are saying we can finally get on the beers?” a reporter asked at the presser. “I don’t know that I’ll be drinking a beer tonight,” replies Premier Dan Andrews. “I might go a little higher up the shelf.”","Shared"
28 Oct 2020,People no longer require a reason to leave home,"All retail, restaurants, hotels, cafes and bars allowed to open with capacity limits. Beauty, personal services and tattooing reopened, outdoor community and non-contact sport recommences. A maximum of 10 people allowed to attend weddings. A maximum of 20 mourners allowed to attend funerals. Faith and religious gatherings allowed to resume.","Shared"
1 Nov 2020,Saw Melbourne family,"First time since June.","Personal"
9 Nov 2020,Allowed to travel more than 25km,"Gyms and fitness studios opened, capacity limits for restaurants, hotels, cafes and bars increased, gathering limits for faith and religious gatherings increased, and indoor pools opened.","Shared"
9 Nov 2020,Ring of Steel around Melbourne opened,"Finally allowed to leave the city.","Shared"
9 Nov 2020,Saw out of Melbourne family for the first time in six months,"Left the city! It was glorious.","Personal"
10 Nov 2020,"Traditional Place names addressing guidelines","Australia Post's public endorsement of Traditional Place name addressing came during NAIDOC week.","Shared"
11 Nov 2020,Warnings of thunderstorm asthma,"I didn't need a puffer at this time.","Shared"
14 Nov 2020,Breakfast with a friend at a favourite cafe,"Potentially the last time we'll be here for years!","Personal"
15 Nov 2020,Brunch with friends,"What a concept! Finally met our friends' new twins.","Personal"
16 Nov 2020,South Australia locks down after outbreak,"","Shared"
19 Nov 2020,Ate out at a restaurant for dinner,"First time since… I can remember.","Personal"
20 Nov 2020,Saw Mum for the first time since January,"Such a moment.","Personal"
21 Nov 2020,South Australia ends its lockdown,"Successful tracing.","Shared"
23 Nov 2020,NSW opens its borders to Victoria,"Progress!","Shared"
23 Nov 2020,We moved out of Melbourne to regional Victoria,"Fleeeeeeeee!","Personal"
1 Dec 2020,Queensland opens its borders to Victoria,"Sunshine awaits!","Shared"
10 Dec 2020,Interest rates went negative,"The interest rate on Treasury notes went negative for the first time. The Australian government was paid to borrow money.","Shared"
13 Dec 2020,Early Christmas celebration,"Spent time with one part of the family in outback Victoria.","Personal"
18 Dec 2020,Sydney's Northern Beaches declared hotspot,"The national COVID-19 hotspot was declared because of the outbreak linked to 28 cases, later linked to 83 cases.","Shared"
19 Dec 2020,WA closes its border to NSW again,"The hard border closure prohibits travel from anywhere in NSW to WA without an exemption.","Shared"
20 Dec 2020,Christmas lunch,"Spent time with another part of the family in regional Victoria.","Personal"
21 Dec 2020,Applied for and received Queensland Border Pass,"Phew! There was not a lot of wriggle room for this.","Personal"
25 Dec 2020,Christmas day,"A small Christmas celebration.","Personal"
26 Dec 2020,Began road trip to Queensland,"We started a 4-day drive to move to Queensland.","Personal"
28 Dec 2020,Crossed border into Queensland,"We made it!","Personal"
30 Dec 2020,Victoria ended 61-day streak of no cases,"There were 3 community cases.","Shared"
